"";"YEAR";"PRESIDENT";"FIRST LADY";"VICE PRESIDENT"
"1";"1789-1797";"George Washington";"Martha Washington";"John Adams"
"2";"1797-1801";"John Adams";"Abigail Adams";"Thomas Jefferson"
"3";"1801-1805";"Thomas Jefferson";"Martha Wayles Skelton Jefferson
   (no image)";"Aaron Burr"
"4";"1805-1809";"Thomas Jefferson";"Martha Wayles Skelton Jefferson
   (no image)";"George Clinton"
"5";"1809-1812";"James Madison";"Dolley Madison";"George Clinton"
"6";"1812-1813";"James Madison";"Dolley Madison";"office vacant"
"7";"1813-1814";"James Madison";"Dolley Madison";"Elbridge Gerry"
"8";"1814-1817";"James Madison";"Dolley Madison";"office vacant"
"9";"1817-1825";"James Monroe";"Elizabeth Kortright Monroe
   (no image)";"Daniel D. Tompkins"
"10";"1825-1829";"John Quincy Adams";"Louisa Catherine Adams";"John C. Calhoun"
"11";"1829-1832";"Andrew Jackson";"Rachel Jackson";"John C. Calhoun"
"12";"1833-1837";"Andrew Jackson";"Rachel Jackson";"Martin Van Buren"
"13";"1837-1841";"Martin Van Buren";"Hannah Hoes Van Buren";"Richard M. Johnson"
"14";"1841";"William Henry Harrison";"Anna Tuthill Symmes Harrison";"John Tyler"
"15";"1841-1845";"John Tyler";"Letitia Christian Tyler and Julia Gardiner Tyler (no images)";"office vacant"
"16";"1845-1849";"James K. Polk";"Sarah Childress Polk";"George M. Dallas"
"17";"1849-1850";"Zachary Taylor";"Margaret Mackall Smith Taylor
   (no image)";"Millard Fillmore"
"18";"1850-1853";"Millard Fillmore";"Abigail Powers Fillmore";"office vacant"
"19";"1853";"Franklin Pierce";"Jane M. Pierce";"William R. King"
"20";"1853-1857";"Franklin Pierce";"Jane M. Pierce";"office vacant"
"21";"1857-1861";"James Buchanan";"(never married)";"John C. Breckinridge"
"22";"1861-1865";"Abraham Lincoln";"Mary Todd Lincoln";"Hannibal Hamlin"
"23";"1865";"Abraham Lincoln";"Mary Todd Lincoln";"Andrew Johnson"
"24";"1865-1869";"Andrew Johnson";"Eliza McCardle Johnson";"office vacant"
"25";"1869-1873";"Ulysses S. Grant";"Julia Dent Grant";"Schuyler Colfax"
"26";"1873-1875";"Ulysses S. Grant";"Julia Dent Grant";"Henry Wilson"
"27";"1875-1877";"Ulysses S. Grant";"Julia Dent Grant";"office vacant"
"28";"1877-1881";"Rutherford Birchard Hayes";"Lucy Webb Hayes";"William A. Wheeler"
"29";"1881";"James A. Garfield";"Lucretia Rudolph Garfield";"Chester A. Arthur"
"30";"1881-1885";"Chester A. Arthur";"Ellen Lewis Herndon Arthur";"office vacant"
"31";"1885";"Grover Cleveland";"Frances Folsom Cleveland";"Thomas A. Hendricks"
"32";"1885-1889";"Grover Cleveland";"Frances Folsom Cleveland";"office vacant"
"33";"1889-1893";"Benjamin Harrison";"Caroline Lavinia Scott HarrisonMary Lord Harrison
   [Harrison's second wife,
    but never a first lady]";"Levi P. Morton"
"34";"1893-1897";"Grover Cleveland";"Frances Folsom Cleveland";"Adlai E. Stevenson"
"35";"1897-1899";"William McKinley";"Ida Saxton McKinley";"Garret A. Hobart"
"36";"1899-1901";"William McKinley";"Ida Saxton McKinley";"office vacant"
"37";"1901";"William McKinley";"Ida Saxton McKinley";"Theodore Roosevelt"
"38";"1901-1905";"Theodore Roosevelt";"Edith Kermit Carow Roosevelt";"office vacant"
"39";"1905-1909";"Theodore Roosevelt";"Edith Kermit Carow Roosevelt";"Charles W. Fairbanks"
"40";"1909-1912";"William H. Taft";"Helen Herron Taft";"James S. Sherman"
